BATS,LNAME,FNAME,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,TEAM,YEAR
L,Mizowaki, Hayato,8,16,15,3,3,0,1,0,5,0,0,0,0,0,1,0,0,2,0,.200,.333,.250,D,2019
S,Moya, Steven,7,22,22,1,5,0,0,1,8,3,0,0,0,0,0,0,0,7,0,.227,.364,.227,D,2019
L,Neo, Akira,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,D,2019
L,Ogasawara, Shinnosuke,7,14,13,1,3,2,0,0,5,2,0,0,1,0,0,0,0,4,0,.231,.385,.231,D,2019
R,Oguma, Ryosuke,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,D,2019
L,Okada, Toshiya,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,D,2019
R,Ono, Shota,34,62,53,6,9,1,0,0,10,3,0,0,3,1,5,0,0,9,2,.170,.189,.237,D,2019
L,Ono, Yudai,25,56,48,1,4,0,0,0,4,1,0,0,6,0,2,0,0,24,0,.083,.083,.120,D,2019
L,Oshima, Yohei,143,623,558,89,174,23,3,3,212,45,30,7,3,3,50,3,9,78,5,.312,.380,.376,D,2019
L,Rodriguez, Joely,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,D,2019
R,Romero, Enny,21,38,31,0,1,0,0,0,1,0,0,0,4,0,3,0,0,22,0,.032,.032,.118,D,2019
L,Sato, Yu,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,D,2019
R,Shimizu, Tatsuya,8,9,7,0,2,0,0,0,2,0,0,0,2,0,0,0,0,3,1,.286,.286,.286,D,2019
L,Sobue, Daisuke,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,D,2019
R,Suzuki, Hiroshi,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,D,2019
R,Tajima, Shinji,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,D,2019
L,Takahashi, Shuhei,117,471,430,50,126,28,5,7,185,59,3,4,5,1,32,7,3,70,10,.293,.430,.345,D,2019
L,Takamatsu, Wataru,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,D,2019
R,Takeda, Kengo,29,36,35,2,5,0,0,0,5,1,0,0,1,0,0,0,0,12,2,.143,.143,.143,D,2019
R,Takeyama, Shingo,30,51,45,6,9,2,0,1,14,4,0,0,1,0,3,0,2,13,1,.200,.311,.280,D,2019
R,Tanimoto, Keisuke,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,D,2019
L,Tomonaga, Shota,10,10,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,.000,.000,.100,D,2019
R,Umetsu, Kodai,6,10,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,.100,.100,.100,D,2019
R,Viciedo, Dayan,143,594,534,56,168,43,0,18,265,93,2,1,0,6,41,9,13,88,22,.315,.496,.374,D,2019
L,Watanabe, Masaru,27,29,27,3,4,2,0,0,6,2,1,0,0,1,1,0,0,11,0,.148,.222,.172,D,2019
R,Yamai, Daisuke,13,18,15,0,2,0,0,0,2,0,0,0,3,0,0,0,0,6,0,.133,.133,.133,D,2019
R,Yamamoto, Takumi,9,13,11,0,1,0,0,0,1,1,0,0,2,0,0,0,0,8,0,.091,.091,.091,D,2019
R,Yanagi, Yuya,26,60,45,5,8,2,0,0,10,3,0,0,10,0,5,0,0,19,0,.178,.222,.260,D,2019
R,Yoshimi, Kazuki,5,7,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,.200,.200,.200,D,2019
